"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-02-04","MI","A+",15725,14778,81,947,,,1376,0,,314,8907925,48411,,,8907925,,165,617745,565251,1885,0,,,,,715933,481801,,0,9525670,50296,497112,,,,,0,9623858,50126
"2021-02-03","MI","A+",15644,14704,35,940,,,1376,0,,314,8859514,38700,,,8859514,,165,615860,563893,1717,0,,,,,714218,481801,,0,9475374,40417,495084,,,,,0,9573732,40276
"2021-02-02","MI","A+",15609,14672,73,937,,,1404,0,,337,8820814,17350,,,8820814,,174,614143,562510,1433,0,,,,,712642,481801,,0,9434957,18783,493773,,,,,0,9533456,18400
"2021-02-01","MI","A+",15536,14609,11,927,,,1409,0,,336,8803464,47245,,,8803464,,170,612710,561307,2572,0,,,,,711592,481801,,0,9416174,49817,492095,,,,,0,9515056,49911
"2021-01-31","MI","A+",15525,14601,0,924,,,1479,0,,364,8756219,0,,,8756219,,193,610138,559241,0,0,,,,,708926,481801,,0,9366357,0,490470,,,,,0,9465145,0
"2021-01-30","MI","A+",15525,14601,115,924,,,1479,0,,364,8756219,41119,,,8756219,,193,610138,559241,1511,0,,,,,708926,481801,,0,9366357,42630,490470,,,,,0,9465145,43036
"2021-01-29","MI","A+",15410,14497,8,913,,,1479,0,,364,8715100,50324,,,8715100,,193,608627,557883,2139,0,,,,,707009,463106,,0,9323727,52463,487677,,,,,0,9422109,52513
"2021-01-28","MI","A+",15402,14491,88,911,,,1536,0,,363,8664776,49066,,,8664776,,192,606488,556109,2255,0,,,,,704820,463106,,0,9271264,51321,486152,,,,,0,9369596,51507
"2021-01-27","MI","A+",15314,14411,9,903,,,1594,0,,377,8615710,46477,,,8615710,,202,604233,554237,2065,0,,,,,702379,463106,,0,9219943,48542,483813,,,,,0,9318089,48890
"2021-01-26","MI","A+",15305,14405,86,900,,,1638,0,,382,8569233,24894,,,8569233,,210,602168,552556,2075,0,,,,,699966,463106,,0,9171401,26969,481240,,,,,0,9269199,26808
"2021-01-25","MI","A+",15219,14326,38,893,,,1668,0,,392,8544339,54976,,,8544339,,199,600093,551080,3347,0,,,,,698052,463106,,0,9144432,58323,479890,,,,,0,9242391,60168
"2021-01-24","MI","A+",15181,14291,0,890,,,1843,0,,396,8489363,0,,,8489363,,191,596746,548069,0,0,,,,,692860,463106,,0,9086109,0,476180,,,,,0,9182223,0
"2021-01-23","MI","A+",15181,14291,230,890,,,1843,0,,396,8489363,50911,,,8489363,,191,596746,548069,1826,0,,,,,692860,463106,,0,9086109,52737,476180,,,,,0,9182223,53925
"2021-01-22","MI","A+",14951,14070,18,881,,,1843,0,,396,8438452,42306,,,8438452,,191,594920,546468,2538,0,,,,,689846,442408,,0,9033372,44844,474589,,,,,0,9128298,44578
"2021-01-21","MI","A+",14933,14053,163,880,,,1907,0,,385,8396146,52919,,,8396146,,199,592382,544311,2513,0,,,,,687574,442408,,0,8988528,55432,472922,,,,,0,9083720,55655
"2021-01-20","MI","A+",14770,13905,35,865,,,2077,0,,396,8343227,37638,,,8343227,,214,589869,542146,2421,0,,,,,684838,442408,,0,8933096,40059,470055,,,,,0,9028065,40284
"2021-01-19","MI","A+",14735,13865,49,870,,,2055,0,,413,8305589,17949,,,8305589,,228,587448,540115,2320,0,,,,,682192,442408,,0,8893037,20269,468615,,,,,0,8987781,19436
"2021-01-18","MI","A+",14686,13824,17,862,,,2140,0,,475,8287640,61811,,,8287640,,236,585128,538377,3343,0,,,,,680705,442408,,0,8872768,65154,466525,,,,,0,8968345,65957
"2021-01-17","MI","A+",14669,13804,0,865,,,2222,0,,493,8225829,0,,,8225829,,256,581785,535534,0,0,,,,,676559,442408,,0,8807614,0,463812,,,,,0,8902388,0
"2021-01-16","MI","A+",14669,13804,119,865,,,2222,0,,493,8225829,48146,,,8225829,,256,581785,535534,2211,0,,,,,676559,442408,,0,8807614,50357,463812,,,,,0,8902388,51259
"2021-01-15","MI","A+",14550,13701,39,849,,,2222,0,,493,8177683,39417,,,8177683,,256,579574,533602,3001,0,,,,,673446,415079,,0,8757257,42418,461932,,,,,0,8851129,42191
"2021-01-14","MI","A+",14511,13672,175,839,,,2238,0,,499,8138266,45873,,,8138266,,258,576573,531004,3295,0,,,,,670672,415079,,0,8714839,49168,459952,,,,,0,8808938,48921
"2021-01-13","MI","A+",14336,13533,40,803,,,2246,0,,501,8092393,38500,,,8092393,,255,573278,528306,3128,0,,,,,667624,415079,,0,8665671,41628,457314,,,,,0,8760017,41461
"2021-01-12","MI","A+",14296,13501,104,795,,,2443,0,,525,8053893,32762,,,8053893,,285,570150,525612,2468,0,,,,,664663,415079,,0,8624043,35230,455811,,,,,0,8718556,35336
"2021-01-11","MI","A+",14192,13401,47,791,,,2396,0,,485,8021131,68657,,,8021131,,272,567682,523618,5129,0,,,,,662089,415079,,0,8588813,73786,453747,,,,,0,8683220,74472
"2021-01-10","MI","A+",14145,13355,0,790,,,2480,0,,517,7952474,0,,,7952474,,294,562553,519082,0,0,,,,,656274,415079,,0,8515027,0,450681,,,,,0,8608748,0
"2021-01-09","MI","A+",14145,13355,232,790,,,2480,0,,517,7952474,48901,,,7952474,,294,562553,519082,2898,0,,,,,656274,415079,,0,8515027,51799,450681,,,,,0,8608748,53347
"2021-01-08","MI","A+",13913,13132,40,781,,,2480,0,,517,7903573,49293,,,7903573,,294,559655,516376,3908,0,,,,,651828,363611,,0,8463228,53201,447754,,,,,0,8555401,54079
"2021-01-07","MI","A+",13873,13094,206,779,,,2578,0,,509,7854280,40848,,,7854280,,300,555747,512751,4249,0,,,,,647042,363611,,0,8410027,45097,445336,,,,,0,8501322,45058
"2021-01-06","MI","A+",13667,12918,59,749,,,2657,0,,523,7813432,40588,,,7813432,,304,551498,508736,4856,0,,,,,642832,363611,,0,8364930,45444,443670,,,,,0,8456264,45351
"2021-01-05","MI","A+",13608,12867,217,741,,,2758,0,,548,7772844,21976,,,7772844,,308,546642,504410,3031,0,,,,,638069,363611,,0,8319486,25007,440635,,,,,0,8410913,24546
"2021-01-04","MI","A+",13391,12678,85,713,,,2698,0,,550,7750868,166414,,,7750868,,313,543611,502119,5490,0,,,,,635499,363611,,0,8294479,171904,439529,,,,,0,8386367,183614
"2021-01-03","MI","A+",13306,12598,0,708,,,2758,0,,629,7584454,0,,,7584454,,368,538121,497127,0,0,,,,,618299,363611,,0,8122575,0,427428,,,,,0,8202753,0
"2021-01-02","MI","A+",13306,12598,288,708,,,2758,0,,629,7584454,0,,,7584454,,368,538121,497127,9500,0,,,,,618299,363611,,0,8122575,9500,427428,,,,,0,8202753,0
"2021-01-01","MI","A+",13018,12333,0,685,,,2758,0,,629,7584454,0,,,7584454,,368,528621,488144,0,0,,,,,618299,318389,,0,8113075,0,427428,,,,,0,8202753,0
"2020-12-31","MI","A+",13018,12333,0,685,,,2758,0,,629,7584454,0,,,7584454,,368,528621,488144,0,0,,,,,618299,318389,,0,8113075,0,427428,,,,,0,8202753,0
"2020-12-30","MI","A+",13018,12333,52,685,,,2758,0,,629,7584454,43822,,,7584454,,368,528621,488144,4782,0,,,,,618299,318389,,0,8113075,48604,427428,,,,,0,8202753,48416
"2020-12-29","MI","A+",12966,12282,212,684,,,2906,0,,649,7540632,19672,,,7540632,,390,523839,483922,3963,0,,,,,613705,318389,,0,8064471,23635,425918,,,,,0,8154337,21648
"2020-12-28","MI","A+",12754,12089,64,665,,,2811,0,,662,7520960,58017,,,7520960,,407,519876,480508,3550,0,,,,,611729,318389,,0,8040836,61567,423406,,,,,0,8132689,62944
"2020-12-27","MI","A+",12690,12029,0,661,,,3108,0,,738,7462943,0,,,7462943,,416,516326,477269,0,0,,,,,606802,318389,,0,7979269,0,422569,,,,,0,8069745,0
"2020-12-26","MI","A+",12690,12029,275,661,,,3108,0,,738,7462943,121344,,,7462943,,416,516326,477269,7877,0,,,,,606802,318389,,0,7979269,129221,422569,,,,,0,8069745,132087
"2020-12-25","MI","A+",12415,11775,0,640,,,3108,0,,738,7341599,0,,,7341599,,416,508449,469928,0,0,,,,,596059,284731,,0,7850048,0,415661,,,,,0,7937658,0
"2020-12-24","MI","A+",12415,11775,0,640,,,3108,0,,738,7341599,0,,,7341599,,416,508449,469928,0,0,,,,,596059,284731,,0,7850048,0,415661,,,,,0,7937658,0
"2020-12-23","MI","A+",12415,11775,73,640,,,3108,0,,738,7341599,30230,,,7341599,,416,508449,469928,3820,0,,,,,596059,284731,,0,7850048,34050,415661,,,,,0,7937658,32764
"2020-12-22","MI","A+",12342,11705,189,637,,,3156,0,,731,7311369,30308,,,7311369,,426,504629,466485,3514,0,,,,,593525,284731,,0,7815998,33822,413750,,,,,0,7904894,33595
"2020-12-21","MI","A+",12153,11532,79,621,,,3179,0,,711,7281061,77483,,,7281061,,436,501115,463403,5059,0,,,,,590238,284731,,0,7782176,82542,411872,,,,,0,7871299,84618
"2020-12-20","MI","A+",12074,11461,0,613,,,3284,0,,758,7203578,0,,,7203578,,466,496056,458852,0,0,,,,,583103,284731,,0,7699634,0,409456,,,,,0,7786681,0
"2020-12-19","MI","A+",12074,11461,206,613,,,3284,0,,758,7203578,56985,,,7203578,,466,496056,458852,4181,0,,,,,583103,284731,,0,7699634,61166,409456,,,,,0,7786681,62678
"2020-12-18","MI","A+",11868,11274,67,594,,,3284,0,,758,7146593,46288,,,7146593,,466,491875,454956,4519,0,,,,,577410,236369,,0,7638468,50807,405263,,,,,0,7724003,50919
"2020-12-17","MI","A+",11801,11212,213,589,,,3395,0,,780,7100305,48529,,,7100305,,461,487356,450776,4541,0,,,,,572779,236369,,0,7587661,53070,402979,,,,,0,7673084,53747
"2020-12-16","MI","A+",11588,11018,93,570,,,3571,0,,818,7051776,49795,,,7051776,,476,482815,446752,4644,0,,,,,567561,236369,,0,7534591,54439,400859,,,,,0,7619337,55380
"2020-12-15","MI","A+",11495,10935,206,560,,,3674,0,,821,7001981,44313,,,7001981,,508,478171,442715,5391,0,,,,,561976,236369,,0,7480152,49704,397438,,,,,0,7563957,49711
"2020-12-14","MI","A+",11289,10752,94,537,,,3802,0,,860,6957668,80837,,,6957668,,514,472780,437985,7621,0,,,,,556578,236369,,0,7430448,88458,395683,,,,,0,7514246,90046
"2020-12-13","MI","A+",11195,10662,0,533,,,3893,0,,863,6876831,0,,,6876831,,518,465159,430780,0,0,,,,,547369,236369,,0,7341990,0,392309,,,,,0,7424200,0
"2020-12-12","MI","A+",11195,10662,230,533,,,3893,0,,863,6876831,51829,,,6876831,,518,465159,430780,4813,0,,,,,547369,236369,,0,7341990,56642,392309,,,,,0,7424200,57647
"2020-12-11","MI","A+",10965,10456,65,509,,,3893,0,,863,6825002,52723,,,6825002,,518,460346,426294,5626,0,,,,,541551,197750,,0,7285348,58349,390240,,,,,0,7366553,59768
"2020-12-10","MI","A+",10900,10395,194,505,,,3893,0,,863,6772279,53788,,,6772279,,518,454720,421137,6302,0,,,,,534506,197750,,0,7226999,60090,388121,,,,,0,7306785,60320
"2020-12-09","MI","A+",10706,10213,81,493,,,3925,0,,857,6718491,42314,,,6718491,,522,448418,415200,5342,0,,,,,527974,197750,,0,7166909,47656,385279,,,,,0,7246465,48099
"2020-12-08","MI","A+",10625,10138,203,487,,,4091,0,,849,6676177,53857,,,6676177,,512,443076,410295,6676,0,,,,,522189,197750,,0,7119253,60533,383571,,,,,0,7198366,61388
"2020-12-07","MI","A+",10422,9947,101,475,,,4122,0,,840,6622320,83838,,,6622320,,515,436400,404386,9824,0,,,,,514658,197750,,0,7058720,93662,380511,,,,,0,7136978,95601
"2020-12-06","MI","A+",10321,9854,0,467,,,4141,0,,855,6538482,0,,,6538482,,513,426576,395036,0,0,,,,,502895,197750,,0,6965058,0,378723,,,,,0,7041377,0
"2020-12-05","MI","A+",10321,9854,204,467,,,4141,0,,855,6538482,58590,,,6538482,,513,426576,395036,6308,0,,,,,502895,197750,,0,6965058,64898,378723,,,,,0,7041377,68207
"2020-12-04","MI","A+",10117,9661,82,456,,,4141,0,,855,6479892,58936,,,6479892,,513,420268,389032,9425,0,,,,,493278,165269,,0,6900160,68361,375457,,,,,0,6973170,68645
"2020-12-03","MI","A+",10035,9580,193,455,,,4175,0,,840,6420956,61820,,,6420956,,502,410843,380343,7957,0,,,,,483569,165269,,0,6831799,69777,373357,,,,,0,6904525,73467
"2020-12-02","MI","A+",9842,9405,83,437,,,4266,0,,837,6359136,38000,,,6359136,,509,402886,373197,7433,0,,,,,471922,165269,,0,6762022,45433,370666,,,,,0,6831058,43905
"2020-12-01","MI","A+",9759,9324,195,435,,,4310,0,,874,6321136,32742,,,6321136,,526,395453,366242,6511,0,,,,,466017,165269,,0,6716589,39253,369466,,,,,0,6787153,38421
"2020-11-30","MI","A+",9564,9134,97,430,,,4326,0,,851,6288394,92105,,,6288394,,531,388942,360449,10790,0,,,,,460338,165269,,0,6677336,102895,367228,,,,,0,6748732,106844
"2020-11-29","MI","A+",9467,9036,0,431,,,4097,0,,832,6196289,0,,,6196289,,472,378152,350021,0,0,,,,,445599,165269,,0,6574441,0,365318,,,,,0,6641888,0
"2020-11-28","MI","A+",9467,9036,110,431,,,4097,0,,832,6196289,52333,,,6196289,,472,378152,350021,8351,0,,,,,445599,165269,,0,6574441,60684,365318,,,,,0,6641888,59320
"2020-11-27","MI","A+",9357,8933,187,424,,,4097,0,,832,6143956,103826,,,6143956,,472,369801,341941,17368,0,,,,,438612,152267,,0,6513757,121194,362221,,,,,0,6582568,119731
"2020-11-26","MI","A+",9170,8761,0,409,,,4063,0,,843,6040130,0,,,6040130,,464,352433,324779,0,0,,,,,422707,152267,,0,6392563,0,359142,,,,,0,6462837,0
"2020-11-25","MI","A+",9170,8761,76,409,,,4063,0,,843,6040130,53499,,,6040130,,464,352433,324779,4687,0,,,,,422707,152267,,0,6392563,58186,359142,,,,,0,6462837,61805
"2020-11-24","MI","A+",9094,8688,154,406,,,4087,0,,865,5986631,64059,,,5986631,,445,347746,320506,6782,0,,,,,414401,152267,,0,6334377,70841,358188,,,,,0,6401032,73541
"2020-11-23","MI","A+",8940,8543,65,397,,,4047,0,,872,5922572,87340,,,5922572,,455,340964,314216,11943,0,,,,,404919,152267,,0,6263536,99283,356370,,,,,0,6327491,100523
"2020-11-22","MI","A+",8875,8478,0,397,,,3887,0,,835,5835232,0,,,5835232,,403,329021,302705,0,0,,,,,391736,152267,,0,6164253,0,354957,,,,,0,6226968,0
"2020-11-21","MI","A+",8875,8478,101,397,,,3887,0,,835,5835232,79727,,,5835232,,403,329021,302705,7840,0,,,,,391736,152267,,0,6164253,87567,354957,,,,,0,6226968,89883
"2020-11-20","MI","A+",8774,8377,57,397,,,3887,0,,835,5755505,73619,,,5755505,,403,321181,295177,10140,0,,,,,381580,138862,,0,6076686,83759,353571,,,,,0,6137085,85362
"2020-11-19","MI","A+",8717,8324,144,393,,,3824,0,,843,5681886,62253,,,5681886,,400,311041,285398,7983,0,,,,,369837,138862,,0,5992927,70236,352058,,,,,0,6051723,71228
"2020-11-18","MI","A+",8573,8190,62,383,,,3792,0,,809,5619633,50686,,,5619633,,396,303058,277806,6218,0,,,,,360862,138862,,0,5922691,56904,350177,,,,,0,5980495,58769
"2020-11-17","MI","A+",8511,8128,80,383,,,3752,0,,776,5568947,49431,,,5568947,,367,296840,272034,7886,0,,,,,352779,138862,,0,5865787,57317,349416,,,,,0,5921726,57670
"2020-11-16","MI","A+",8431,8049,55,382,,,3580,0,,749,5519516,102724,,,5519516,,343,288954,264576,13162,0,,,,,344540,138862,,0,5808470,115886,347813,,,,,0,5864056,117843
"2020-11-15","MI","A+",8376,7994,0,382,,,3241,0,,660,5416792,0,,,5416792,,272,275792,251813,0,0,,,,,329421,138862,,0,5692584,0,346627,,,,,0,5746213,0
"2020-11-14","MI","A+",8376,7994,68,382,,,3241,0,,660,5416792,62002,,,5416792,,272,275792,251813,7430,0,,,,,329421,138862,,0,5692584,69432,346627,,,,,0,5746213,72021
"2020-11-13","MI","A+",8308,7929,123,379,,,3241,0,,660,5354790,64181,,,5354790,,272,268362,244741,9179,0,,,,,319402,128981,,0,5623152,73360,344502,,,,,0,5674192,74496
"2020-11-12","MI","A+",8185,7811,49,374,,,3209,0,,628,5290609,60005,,,5290609,,253,259183,236225,7311,0,,,,,309087,128981,,0,5549792,67316,343088,,,,,0,5599696,68512
"2020-11-11","MI","A+",8136,7766,42,370,,,3093,0,,604,5230604,48231,,,5230604,,263,251872,229285,6620,0,,,,,300580,128981,,0,5482476,54851,341946,,,,,0,5531184,56015
"2020-11-10","MI","A+",8094,7724,86,370,,,2959,0,,595,5182373,52371,,,5182373,,257,245252,223277,6944,0,,,,,292796,128981,,0,5427625,59315,339921,,,,,0,5475169,61281
"2020-11-09","MI","A+",8008,7640,63,368,,,2815,0,,544,5130002,145044,,,5130002,,239,238308,216804,9305,0,,,,,283886,128981,,0,5368310,154349,339100,,,,,0,5413888,87225
"2020-11-08","MI","A+",7945,7578,0,367,,,2425,0,,484,4984958,0,,,4984958,,202,229003,207794,0,0,,,,,266355,128981,,0,5213961,0,338299,,,,,0,5326663,0
"2020-11-07","MI","A+",7945,7578,65,367,,,2425,0,,484,4984958,0,,,4984958,,202,229003,207794,6494,0,,,,,266355,128981,,0,5213961,6494,338299,,,,,0,5326663,75350
"2020-11-06","MI","A+",7880,7513,47,367,,,2425,0,,484,4984958,48339,,,4984958,,202,222509,201569,4246,0,,,,,266355,121093,,0,5207467,52585,336396,,,,,0,5251313,115366
"2020-11-05","MI","A+",7833,7470,51,363,,,2280,0,,475,4936619,55103,,,4936619,,194,218263,197806,6103,0,,,,,260736,121093,,0,5154882,61206,333334,,,,,0,5135947,0
"2020-11-04","MI","A+",7782,7419,21,363,,,2215,0,,470,4881516,38789,,,4881516,,199,212160,192096,4397,0,,,,,254431,121093,,0,5093676,43186,333334,,,,,0,5135947,43267
"2020-11-03","MI","A+",7761,7400,45,361,,,2059,0,,444,4842727,38754,,,4842727,,183,207763,187995,3437,0,,,,,249953,121093,,0,5050490,42191,332703,,,,,0,5092680,43252
"2020-11-02","MI","A+",7716,7357,17,359,,,1966,0,,428,4803973,89787,,,4803973,,180,204326,184889,6920,0,,,,,245455,121093,,0,5008299,96707,331012,,,,,0,5049428,96962
"2020-11-01","MI","A+",7699,7340,0,359,,,1728,0,,398,4714186,0,,,4714186,,167,197406,178180,0,0,,,,,238280,121093,,0,4911592,0,329831,,,,,0,4952466,0
"2020-10-31","MI","A+",7699,7340,34,359,,,1728,0,,398,4714186,45491,,,4714186,,167,197406,178180,4018,0,,,,,238280,121093,,0,4911592,49509,329831,,,,,0,4952466,50074
"2020-10-30","MI","A+",7665,7309,12,356,,,1728,0,,398,4668695,58021,,,4668695,,167,193388,174388,3345,0,,,,,233697,114939,,0,4862083,61366,328693,,,,,0,4902392,62103
"2020-10-29","MI","A+",7653,7298,47,355,,,1332,0,,320,4610674,48606,,,4610674,,153,190043,171220,4109,0,,,,,229615,114939,,0,4800717,52715,327051,,,,,0,4840289,107564
"2020-10-28","MI","A+",7606,7257,21,349,,,1332,0,,320,4562068,50942,,,4562068,,153,185934,167545,3590,0,,,,,225150,114939,,0,4748002,54532,323494,,,,,0,4732725,0
"2020-10-27","MI","A+",7585,7239,33,346,,,1332,0,,320,4511126,38407,,,4511126,,146,182344,164274,2675,0,,,,,221599,114939,,0,4693470,41082,323494,,,,,0,4732725,41246
"2020-10-26","MI","A+",7552,7211,30,341,,,1332,0,,320,4472719,68340,,,4472719,,140,179669,161907,4057,0,,,,,218760,114939,,0,4652388,72397,322810,,,,,0,4691479,72917
